slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement_type,history,event_date,landslide
ASM/DH/83G4/ PD/2016/28,Assam,Dima Hasao,Haflong-Jatinga road section slide-03,"Haflong town, Dima Hasao (NC Hills)",25.15736111,93.01608333,Rock,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/33,Assam,Dima Hasao,Haflong – Gunjung road section slide- 04,Haflong – Gunjung road section,25.23880556,93.03219444,Rock,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/40,Assam,Dima Hasao (N.C. Hills),Lungkok slide (Haflong – Gunjung road 11),"-Haflong – Gunjung road section, Lungkok village, Lower Haflong",25.19669444,93.01858333,Rock,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/41,Assam,Dima Hasao (N.C. Hills),Lower Haflong slide (Haflong – Gunjung road-12),"Haflong – Gunjung road section, Lower Haflong",25.18844444,93.01966667,Rock,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD /2016/03,Assam,Dima Hasao (N.C. Hills),Heuwangberam subsidence zone-1,"NH 54, Heuwangberam,",25.20738889,93.12277778,Debris,"Initially started as a subsidence, now movement of slope mass has already been initiated.",20 August 2014,2014-08-20,1
ASM/DH/83G4/ PD/2016/10,Assam,Dima Hasao,N.D Raji.-1,"N.D Raji village, Haflong, Dima Hasao (NC Hills)",25.17597222,93.02016667,Debris,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/11,Assam,Dima Hasao,N.D Raji (Hamar)-2,"N.D Raji (Hamar)village, Haflong, Dima Hasao (NC Hills)",25.17505556,93.02041667,Debris,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/12,Assam,Dima Hasao,"Huonveng, N.D Raji-3","N.D Raji (Hmar)village, Haflong, Dima Hasao (NC Hills)",25.17188889,93.02061111,Debris,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/13,Assam,Dima Hasao,Songpiang-1,"Songpiang village, Haflong, Dima Hasao (NC Hills)",25.16563889,93.02544444,Debris,Fall,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/14,Assam,Dima Hasao,Songpiang-2,"Songpiang village, Haflong, Dima Hasao (NC Hills)",25.16344444,93.02316667,Debris,Slide,22 May 2016,2016-05-22,1
